num_layers,layer_size,activation,train_loss,val_loss,test_loss,stop_epoch
8,1,relu,2538.416463216146,3038.4737243652344,2448.484619140625,1109
2,16,relu,2.370625628365411,3.401252120733261,2.4685354232788086,1238
8,1024,tanh,1861.491156684028,1684.6355438232422,1798.764404296875,4
3,256,tanh,2.432950973510742,1.610495775938034,3.393524169921875,343
8,2,relu,2539.799730088976,3038.473876953125,2469.718505859375,71
8,8,relu,2.967923276954227,3.721004992723465,3.353452682495117,1652
8,512,tanh,2250.4703030056426,1626.6130065917969,2209.905517578125,16
8,4,tanh,1.8118226263258197,1.353544034063816,1.6510341167449951,3282
4,16,tanh,1.5712252027458615,1.1106381118297577,2.520328998565674,1262
8,16,relu,2.999100387096405,2.106748506426811,5.176431655883789,863
4,2,tanh,38.3443366156684,34.35034966468811,49.840606689453125,5371
2,8,relu,1.9918903642230563,2.5265330225229263,2.498812198638916,3931
7,256,tanh,12.457493715816074,2.732561737298965,6.435027599334717,290
1,32,relu,1.238117516040802,1.3829524144530296,1.9392898082733157,1461
5,32,relu,1.554694675736957,2.008400186896324,1.940179467201233,806
1,256,tanh,1.0195352766248915,1.147708646953106,1.4100369215011597,1275
3,1,tanh,542.5592329237196,657.1184158325195,547.8290405273438,9725
9,512,tanh,2441.605719672309,2151.969284057617,2153.411865234375,0
8,2048,tanh,1509.7053358289932,1655.8204803466797,1381.3614501953125,7
2,8,tanh,1.3276851409011416,1.2434599101543429,1.464931845664978,2078
2,2048,tanh,3.952787048286862,3.314649909734726,4.061267852783203,293
6,64,tanh,6.70989986260732,1.3605655431747437,10.046915054321287,777
3,8,tanh,1.3622718784544203,1.226719655096531,1.7033611536026,2355
4,1024,relu,2.169262336360084,2.540910348296165,6.249166965484619,45
8,64,tanh,8.479842755529615,1.5498532503843307,4.277803421020508,581
3,512,tanh,20.645747661590576,2.8863904178142548,13.333693504333496,225
5,128,tanh,4.036383496390449,1.8848147094249723,3.334493637084961,341
9,1,tanh,1346.2947353786892,1534.7489318847656,1165.0694580078125,2644
7,16,relu,2.124599854151408,2.8144606202840805,3.1812987327575684,676
4,1,tanh,561.3308970133463,669.0045127868652,559.651611328125,9074
8,32,tanh,2.1103991402520075,1.2044153809547424,2.261164665222168,944
2,128,relu,0.9510425759686364,1.3106340989470482,1.7245196104049685,423
8,16,tanh,2.0456953942775726,1.3156618177890778,1.976292848587036,1173
9,1024,relu,7.22961370812522,1.6536566764116287,3.5789480209350586,302
3,256,relu,1.974355432722304,1.3348862528800964,1.908090353012085,289
8,2048,relu,6.500624974568685,1.9459123611450195,5.1615166664123535,290
8,512,relu,3.1373021735085382,1.7892234101891518,2.8117780685424805,162
1,8,relu,8.814715385437012,7.337485074996948,8.906815528869629,2833
5,2048,tanh,100.41499593522812,36.74018049240112,83.60173034667969,132
1,32,tanh,1.5254261162545946,1.5109294652938845,1.686302900314331,2204
1,4,relu,46.28296714358859,45.71376419067383,54.348026275634766,2800
1,16,relu,1.4277947975529566,1.4635600298643112,1.9023301601409912,2954
6,2048,tanh,86.88260290357802,51.315916299819946,100.71051025390624,122
2,4,tanh,2.9102252456876965,2.555862218141556,3.604214668273926,6052
2,256,tanh,1.4093382358551023,1.5779083147644997,1.5609910488128662,275
2,2,relu,363.8559332953559,427.09842681884766,376.5676879882813,9945
1,1,tanh,520.8544192843967,642.8908500671387,536.5059204101562,9945
5,256,relu,1.5632887383302052,1.5595021098852158,3.172217607498169,205
9,256,relu,12.09935516781277,1.708348736166954,14.87048625946045,320
1,128,relu,0.9086661785840988,1.2217045575380323,1.3700920343399048,1199
4,8,tanh,1.598102354341083,1.1485522910952568,1.255773901939392,1952
7,4,relu,18.59384732776218,20.530481934547424,19.64831924438477,2910
1,1,relu,451.791502210829,553.9184112548828,471.7303771972656,8822
4,8,relu,3.642685148451063,3.244084447622299,4.412235736846924,1250
7,32,tanh,1.8905331558651397,1.3719562739133837,2.505202054977417,766
4,32,relu,1.3180905746089089,1.5349950939416883,2.840871810913086,670
1,64,relu,0.9114645487732358,1.1465787217020988,1.3371659517288208,1444
7,32,relu,1.36703939570321,1.4259892627596855,2.9601175785064697,408
3,128,relu,1.2998632225725386,1.383883759379387,2.015844345092773,663
5,1024,tanh,65.00044208102756,15.45887303352356,67.72944641113281,79
